2025-04-05 18:57:41 - Usuario: MonteS | Precio: 4000.99 COP | Cantidad: 7389.99 USDT
2025-04-05 18:58:08 - Usuario: MonteS | Precio: 4000.99 COP | Cantidad: 6290.09 USDT
2025-04-05 18:58:30 - Usuario: MonteS | Precio: 4000.99 COP | Cantidad: 6290.09 USDT
2025-04-05 18:58:36 - Usuario: MonteS | Precio: 4000.99 COP | Cantidad: 6262.14 USDT
2025-04-05 19:00:42 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8314.64 USDT
2025-04-05 19:03:30 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8282.23 USDT
2025-04-05 19:03:36 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8259.79 USDT
2025-04-05 19:06:40 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8229.84 USDT
2025-04-05 19:07:38 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8130.89 USDT
2025-04-05 19:10:11 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8108.45 USDT
2025-04-05 19:11:51 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8088.50 USDT
2025-04-05 19:14:13 - Usuario: sebasm | Precio: 4009.99 COP | Cantidad: 8044.55 USDT
2025-04-05 19:28:21.959944 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7955.61 USDT
2025-04-05 19:32:03.045380 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7905.66 USDT
2025-04-05 19:32:18.924581 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7831.77 USDT
2025-04-05 19:32:40.119399 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7811.62 USDT
2025-04-05 19:37:24.207288 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7566.67 USDT
2025-04-05 19:38:11.532284 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7486.72 USDT
2025-04-05 19:38:53.836925 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7335.02 USDT
2025-04-05 19:40:59.972041 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7218.52 USDT
2025-04-05 19:42:08.328252 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7068.68 USDT
2025-04-05 19:42:39.993047 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7047.22 USDT
2025-04-05 19:43:01.071123 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 7018.86 USDT
2025-04-05 19:44:25.437254 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6995.08 USDT
2025-04-05 19:44:35.970778 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6974.13 USDT
2025-04-05 19:46:05.396773 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6953.18 USDT
2025-04-05 19:46:26.409079 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6873.23 USDT
2025-04-05 19:47:45.226124 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6823.36 USDT
2025-04-05 19:48:06.208713 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6801.73 USDT
2025-04-05 19:48:21.983272 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6717.22 USDT
2025-04-05 19:52:34.269149 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6430.44 USDT
2025-04-05 19:57:55.176361 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6398.35 USDT
2025-04-05 19:59:08.699937 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6342.72 USDT
2025-04-05 20:00:01.189973 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6342.72 USDT
2025-04-05 20:00:12.437888 - Usuario: sebasm | Precio: 4,009.99 COP | Cantidad: 6342.72 USDT
2025-04-05 20:03:01 - Usuario: TradeU | Precio: 4,005.10 COP | Cantidad: 49322.37 USDT
